Recipe Title,Ingredients,Steps
Σαρδέλες σε αμπελόφυλλα από τη Λέσβο,"1/2 κιλό σαρδέλες, καθαρισμένες από εντόσθια, κεφάλια και το κεντρικό κόκαλο, 1/2 αμπελόφυλλο για κάθε ψάρι, χυμός από 1 λεμόνι, 90 ml ελαιόλαδο, 150 ml λευκό κρασί, αλατοπίπερο","Για τις σαρδέλες σε αμπελόφυλλα από τη Λέσβο ξεκινάμε και προθερμαίνουμε τον φούρνο στους 200° C., Αλατίζουμε καλά τα ψάρια και τυλίγουμε το καθένα με μισό αμπελόφυλλο., Λαδώνουμε ελαφρώς ένα πυρέξ ή ένα ταψί και βάζουμε τα τυλιγμένα ψάρια κεφάλι με ουρά., Αλατοπιπερώνουμε και περιχύνουμε με το χυμό λεμονιού, το κρασί και το υπόλοιπο ελαιόλαδο., Αλατοπιπερώνουμεκαι φουρνίζουμε για περίπου 20 λεπτά ή μέχρι να γίνουν οι σαρδέλες και να ξεροψηθούν τα αμπελόφυλλα., Αν μείνει ζουμί μέσα στο σκεύος, μπορούμε να το βάλουμε σε κατσαρολάκι και να το βράσουμε, προσθέτοντας λουίζα ή αρμπαρόριζα τριμμένη καθώς και πράσινο πιπέρι, μέχρι να συμπυκνωθεί., Σερβίρουμε τις σαρδέλες και περιχύνουμε με τη σάλτσα τους."
Γιαπράκια γεμιστά με κατσικάκι,"3 κιλά μπούτι κατσικίσιο *, περίπου 50 αμπελόφυλλα, φρέσκα ή από βαζάκι, ζεματισμένα (τα φρέσκα για περίπου 3 λεπτά, από βαζάκι για 1/2 - 1 λεπτό ) και στραγγισμένα, 1 νεροπότηρο μακρύκοκκο κίτρινο ρύζι, 1 μάτσο δυόσμος, ψιλοκομμένος, 2 κουτ. γλυκού κύμινο, σε σκόνη, 1 κουτ. γλυκού φρεσκοτριμμένο πιπέρι, 1 αυγό, 350 ml ελαιόλαδο, αλάτι","Για να φτιάξουμε τα γεμιστά γιαπράκια με κατσικάκι, σε ένα μεγάλο μπολ ζυμώνουμε το ψιλοκομμένο κρέας, το ρύζι, τον δυόσμο, το κύμινο, το πιπέρι, 80 ml από το ελαιόλαδο, το αυγό και αλάτι., Διαλέγουμε 8-10 μεγάλα και πιο σκληρά αμπελόφυλλα και με αυτά καλύπτουμε τον πυθμένα μιας φαρδιάς κατσαρόλας., Παίρνουμε ένα από τα υπόλοιπα και το στρώνουμε σε ξύλο κοπής, με τη θαμπή πλευρά προς τα πάνω., Βάζουμε στην άκρη που υπάρχει το κοτσάνι 1-2 κουτ. σούπας γέμιση, φέρνουμε τα πλαϊνά του φύλλου προς το κέντρο, σκεπάζοντας τη γέμιση, και στη συνέχεια τυλίγουμε το φύλλο σε σχετικά σφικτό ντολμαδάκι-γιαπράκι., Το βάζουμε στην κατσαρόλα με την άκρη του τυλίγματος προς τα κάτω, πάνω στα στρωμένα φύλλα. Συνεχίζουμε με τα υπόλοιπα φύλλα και τη γέμιση μέχρι να τελειώσουν τα υλικά και στρώνουμε τα γιαπράκια στην κατσαρόλα, σφιχτά μεταξύ τους, χωρίς κενά, σε δύο στρώσεις., Περιχύνουμε με το υπόλοιπο ελαιόλαδο και καλύπτουμε τα γιαπράκια με ένα πιάτο, πιο μικρό από την κατσαρόλα, ώστε να μη μετακινηθούν στο μαγείρεμα., Προσθέτουμε ζεστό νερό τόσο ώστε να μισοκαλύψει το πιάτο και βάζουμε σε δυνατή φωτιά μέχρι το νερό να πάρει βράση., Χαμηλώνουμε τη φωτιά, σκεπάζουμε την κατσαρόλα και μαγειρεύουμε για περίπου 50 λεπτά., Χτυπάμε με το σύρμα τα αυγά μέχρι να αφρατέψουν, προσθέτουμε πασπαλιστά το κορν φλάουρ και σταδιακά τον χυμό λεμονιού, συνεχίζοντας το χτύπημα., Αφαιρούμε το πιάτο από την κατσαρόλα και με μια κουτάλα παίρνουμε ζωμό και τον ρίχνουμε αργά στο αυγολέμονο, χτυπώντας ασταμάτητα μέχρι να ζεσταθεί., Το αδειάζουμε στην κατσαρόλα, τη σείουμε για να απλωθεί παντού και αποσύρουμε. Τα γιαπράκια μας είναι έτοιμα."
Μύδια σούπα με πράσα και κρόκο Κοζάνης,"2 κιλά μύδια με το κέλυφος (πετάμε εξαρχής όσα είναι ανοιγμένα, πλένουμε καλά τα υπόλοιπα, τα βουρτσίζουμε για να απομακρύνουμε την άμμο από τα κελύφη και με ένα μαχαιράκι τραβάμε και αφαιρούμε τον βύσσο, το «γένι» τους), 120 ml λευκό, ξηρό κρασί, 1 ξερό κρεμμύδι, ψιλοκομμένο, 1 σκελίδα σκόρδο, ψιλοκομμένη, 500 γρ. πράσα, σε μέτριες ροδέλες, 2 κλωνάρια σέλερι, σε μικρά καρέ, 1 μαραθόριζα, καθαρισμένη, ψιλοκομμένη, 3 μεγάλες πατάτες, σε μικρά καρέ, 1 γρ. κλωστίτσες κρόκου Κοζάνης, 1/2 κουτ. γλυκού μαραθόσποροι, κοπανισμένοι, 1 φύλλο δάφνης, περίπου 600 ml νερό ή ζωμός ψαριού, 100 ml ελαιόλαδο, ανθός αλατιού φρεσκοτριμμένο, λευκό πιπέρι","Για τη σούπα με μύδια, πράσα και κρόκο Κοζάνης ξεκινάμε και σε μια φαρδιά κατσαρόλα βάζουμε το κρασί και τα μύδια, ζεσταίνουμε σε μέτρια φωτιά και αχνίζουμε για 5 λεπτά με σκεπασμένη κατσαρόλα., Αποσύρουμε από τη φωτιά και ελέγχουμε τα μύδια, πετώντας όσα δεν άνοιξαν. Βγάζουμε τα υπόλοιπα με τρυπητή κουτάλα σε ένα πιάτο και μόλις κρυώσουν λίγο, τα ανοίγουμε και κρατάμε στην άκρη την ψίχα τους (πετάμε τα κελύφη)., Αδειάζουμε το υγρό της κατσαρόλας σε ένα μπολ και το αφήνουμε κι αυτό στην άκρη., Στην ίδια κασταρόλα, άδεια πλέον, ζεσταίνουμε το λάδι σε μέτρια φωτιά και σοτάρουμε το κρεμμύδι, το σκόρδο, τα πράσα, το σέλερι και τη μαραθόριζα για 5-6 λεπτά, μέχρι να γυαλίσουν και να μαραθούν λίγο., Προσθέτουμε τις πατάτες και τον κρόκο, σοτάρουμε για άλλα 2 λεπτά και σβήνουμε με τον ζωμό από τα μύδια που αφήσαμε κατά μέρος., Προσθέτουμε τον μαραθόσπορο, τη δάφνη και το νερό (ή τον ζωμό ψαριού), αλατοπιπερώνουμε και αφήνουμε να πάρουν βράση., Χαμηλώνουμε τη φωτιά και σιγοβράζουμε για 30-40 λεπτά., Αποσύρουμε από τη φωτιά και πολτοποιούμε τη σούπα μέσα στην κατσαρόλα με ραβδομπλέντερ ή σε δόσεις στον πολυκόφτη., Μοιράζουμε τη βελουτέ σούπα σε πιάτα, προσθέτουμε την ψίχα των μυδιών και σερβίρουμε, συνοδεύοντας με ζεστό ψωμί – ιδανικά σκορδόψωμο."
Τουλουμπάκια,"250 γρ. αλεύρι σκληρό, 300 ml νερό, 40 ml σπορέλαιο, 4 μεσαία αυγά, 20 γρ. ζάχαρη, 1 πρέζα αλάτι","Για να φτιάξουμε τα τουλουμπάκια, ξεκινάμε φτιάχνοντας το σιρόπι., Σε ένα κατσαρολάκι βάζουμε το νερό και τη ζάχαρη και, αφού πάρουν μία βράση, κατεβάζουμε από τη φωτιά και προσθέτουμε το μέλι. Ανακατεύουμε να διαλυθεί και αφήνουμε το σιρόπι να κρυώσει., Σε ένα άλλο κατσαρόλακι ζεσταίνουμε το νερό με το λάδι, τη ζάχαρη και το αλάτι μέχρι να πάρουν βράση. Αποσύρουμε από τη φωτιά και προσθέτουμε το αλεύρι, ανακατεύοντας έντονα με μια κουτάλα μέχρι να γίνει ένα ζυμαράκι., Επαναφέρουμε το κατσαρολάκι στη φωτιά και συνεχίζουμε το ανακάτεμα για περίπου μισό λεπτό, ώστε να ψηθεί καλά το αλεύρι., Αδειάζουμε το ζυμαράκι στο μίξερ και το ανακατεύουμε με το φτερό μέχρι να κρυώσει λίγο., Σε ένα μπολάκι χτυπάμε ελαφρώς τα αυγά και τα ρίχνουμε σταδιακά στο ζυμάρι, συνεχίζοντας το ανακάτεμα. Αφού απορροφηθούν και γίνει μια μαλακή και κάπως ρευστή ζύμη, τη μεταφέρουμε σε μια σακούλα ζαχαροπλαστικής με μύτη οδοντωτή., Σε ένα τηγάνι βάζουμε αρκετό σπορέλαιο και, αφού ζεσταθεί καλά, σχηματίζουμε με το κορνέ τουλουμπάκια ως εξής: Πλησιάζουμε τη μύτη της σακούλας στην επιφάνεια του λαδιού, πιέζουμε να βγει λίγη ζύμη και, όταν φτάσει στο μήκος που επιθυμούμε, την κόβουμε με ένα ψαλίδι, να πέσει το τουλουμπάκι στο λάδι., Αφού τα τηγανίσουμε και ροδίσουν καλά από όλες τις πλευρές, τα βγάζουμε με τρυπητή κουτάλα και τα βάζουμε σε ένα πιάτο με απορροφητικό χαρτί, να στραγγίξουν., Έπειτα, τα ρίχνουμε στο κατσαρολάκι με το κρύο σιρόπι και τα γυρνάμε να σιροπιαστούν καλά, για περίπου 10 δευτερόλεπτα., Βγάζουμε τα τουλουμπάκια ξανά με τρυπητή κουτάλα και τα τοποθετούμε σε πιατέλα. Διατηρούνται σε θερμοκρασία δωματίου."
Σύκο γλυκό του κουταλιού,"1 κιλό σύκα, άγουρα, μαζεμένα τον Μάιο, 1000 γρ. ζάχαρη, 700 ml νερό, 500 γρ. αμύγδαλα ωμά, γαρύφαλλα (όσα τα σύκα), χυμό από 2 λεμόνια, Προαιρετικά: ένα μικρό κομμάτι γαλαζόπετρα (μέγεθος φακής). Η γαλαζόπετρα (θειικός χαλκός) είναι διαθέσιμη σε φαρμακεία και βοηθά να διατηρήσουμε το πράσινο χρώμα των σύκων.","Βάζουμε τα σύκα σε μια κατσαρόλα και τα καλύπτουμε με νερό., Προσθέτουμε την γαλαζόπετρα, καλύπτουμε με ένα πιάτο (θέλουμε το πιάτο να καλύπτεται από το νερό) και τα αφήνουμε να πάρουν βράση., Από την ώρα που θα πάρουν βράση, βράζουμε για περίπου 10 λεπτά να μαλακώσουν., Τα μεταφέρουμε αμέσως σε νερό με πάγο να κρυώσουν. Τα αφήνουμε σε νερό για δύο μέρες, αλλάζοντας νερό τρεις φορές τη μέρα., Μετά τα στραγγίζουμε και τα αφήνουμε, με την πλευρά του κοτσανιού προς τα πάνω, να στραγγίξουν καλά πάνω σε πετσέτες, προσέχοντας μην τα ζουλήξουμε., Στην κάτω πλευρά κάθε σύκου χώνουμε ένα αμύγδαλο και ένα γαρύφαλλο. Τα αφήνουμε πάλι να στεγνώσουν για περίπου μία ώρα., Σε μια πλατιά ρηχή κατσαρόλα βάζουμε τα συκα, τα αμύγδαλα που περίσσεψαν, τη ζάχαρη και το μετρημένο νερό. Δεν ανακατεύουμε με κουτάλα. Απλά σείουμε την κατσαρόλα όποτε χρειάζεται. Ξαφρίζουμε όποτε είναι αναγκαίο την επιφάνεια., Αφήνουμε σε μέτρια φωτιά να βράσουν και να δέσει το σιρόπι περίπου 30-40 λεπτά., Στο τέλος προσθέτουμε τον χυμό λεμόνι και βράζουμε για 2-3 λεπτά ακόμη., Διατηρούμε σε αποστειρωμένα βάζα*."
Σύκο γλυκό του κουταλιού με αρμπαρόριζα,"1 κιλό σύκα, άγουρα, μαζεμένα τον Μάιο, 1000 γρ. ζάχαρη, 700 ml νερό, χυμό από 2 λεμόνια, 3 φύλλα αρμπαρόριζας","Βάζουμε τα σύκα σε μια κατσαρόλα και τα καλύπτουμε με νερό., Προσθέτουμε την γαλαζόπετρα, καλύπτουμε με ένα πιάτο (θέλουμε το πιάτο να καλύπτεται από το νερό) και τα αφήνουμε να πάρουν βράση., Από την ώρα που θα πάρουν βράση, συνεχίζουμε να βράζουμε για περίπου 10 λεπτά να μαλακώσουν., Τα μεταφέρουμε αμέσως σε νερό με πάγο να κρυώσουν. Τα αφήνουμε σε νερό για δύο μέρες, αλλάζοντας νερό τρεις φορές τη μέρα., Μετά τα στραγγίζουμε και τα αφήνουμε, με την πλευρά του κοτσανιού προς τα πάνω, να στραγγίξουν καλά πάνω σε πετσέτες, προσέχοντας μην τα ζουλήξουμε., Σε μια πλατιά ρηχή κατσαρόλα βάζουμε τα συκα, την αρμπαρόριζα, τη ζάχαρη και το μετρημένο νερό. Δεν ανακατεύουμε με κουτάλα, απλά σείουμε την κατσαρόλα όποτε χρειάζεται. Όποτε είναι αναγκαίο ξαφρίζουμε την επιφάνεια., Αφήνουμε σε μέτρια φωτιά να βράσουν και να δέσει το σιρόπι περίπου 30- 40 λεπτά., Στο τέλος προσθέτουμε τον χυμό απ’ τα λεμόνια και βράζουμε για άλλα 2-3 λεπτά. Δεν αφαιρούμε την αρμπαρόριζα καθώς τρώγεται., Διατηρούμε σε αποστειρωμένα βάζα*."
Σουβλάκι προβατίνας με σπέσιαλ μαρινάδα,"1.000 γρ. ψαχνό από προβατίνα, κατά προτίμηση μπροστινό (ζητάμε από τον κρεοπώλη μας να καθαρίσει την προβατίνα από τους χόνδρους και το σκληρό εξωτερικό λίπος και να το κόψει σε κομμάτια 2-3 εκ., μεγέθους καρυδιού), 150 γρ. ξηρή μυζήθρα, χοντροτριμμένη, 3-4 σκελίδες σκόρδο, τριμμένες, 2 κοκκινόφλουδα ξερά κρεμμύδια, τριμμένα, 2 κουτ. σούπας λευκό ξίδι, 1 μικρό ακτινίδιο, καθαρισμένο, λιωμένο, 250 γρ. ντοματίνια, αλάτι, φρεσκοτριμμένο πιπέρι, λίγο ελαιόλαδο για το άλειμμα","Για να φτιάξουμε σουβλάκι προβατίνας με σπέσιαλ μαρινάδα, αρχικά ανακατεύουμε, σε ένα μπολ, το τυρί, τα σκόρδα, τα κρεμμύδια, το ξίδι, το ακτινίδιο, αλάτι και πιπέρι., Προσθέτουμε τα κομμάτια της προβατίνας και τα τρίβουμε με τα υλικά, για να απορροφήσουν τις γεύσεις και τα αρώματα., Αδειάζουμε όλο το μείγμα σε ένα μεγάλο κομμάτι λαδόκολλα, το τυλίγουμε σφιχτά σε πακέτο και το βάζουμε σε ένα ταψί. Το αφήνουμε στο ψυγείο για όλο το βράδυ., Ετοιμάζουμε θράκα μέτρια προς δυνατή (το χέρι μας να αντέχει περίπου 8-10 δευτερόλεπτα σε απόσταση 10 εκ. πάνω από τη σχάρα)., Περνάμε τα κομμάτια της προβατίνας σε μεταλλικές μικρές σούβλες ή καλαμάκια, εναλλάξ με ολόκληρα ντοματίνια και τα αλείφουμε με λίγο ελαιόλαδο., Τα ψήνουμε για περίπου 10 λεπτά, γυρίζοντάς τα τακτικά. Προσέχουμε να μην τα παραψήσουμε, γιατί θα σκληρύνουν, θέλουμε να παραμείνουν ζουμερά., Ιδανικά συνοδεύουμε, το σουβλάκι προβατίνας με σπέσιαλ μαρινάδα, με πατάτες φούρνου – σε ταψί όπου έχουμε ανακατέψει ελαιόλαδο κατά βούληση, 2-3 σκελίδες σκόρδο, αλάτι, πιπέρι και 2-3 κλωνάρια φρέσκο δεντρολίβανο."
"Μπριζόλα tomahawk με βούτυρο miso, με ψητά ντοματίνια και salsa verde με εστραγκόν","1 μοσχαρίσια μπριζόλα tomahawk, βάρους περίπου 1.200 γρ., σε θερμοκρασία δωματίου, 15 ml ελαιόλαδο, 30 γρ. βούτυρο αγελαδινό, μαλακωμένο σε θερμοκρασία δωματίου, 20 γρ. σκούρα πάστα miso (σε καταστήματα με ασιατικά τρόφιμα), ανθός αλατιού, φρεσκοτριμμένο πιπέρι","Για να φτιάξουμε μπριζόλα tomahawk με βούτυρο miso, με ψητά ντοματίνια και salsa verde με εστραγκόν, ξεκινάμε ανακατεύοντας σε ένα μπολάκι το μαλακωμένο βούτυρο με την πάστα miso μέχρι να αναμειχθούν., Χτυπάμε στον πολυκόφτη όλα τα υλικά εκτός από το ελαιόλαδο και τον χυμό λεμονιού, μέχρι να φτιάξουμε μια πυκνή πάστα. Κάθε τόσο σταματάμε τη λειτουργία και με ένα κουτάλι σπρώχνουμε προς τα μαχαίρια το μείγμα που έχει κολλήσει στα τοιχώματα. Αν χρειαστεί, προσθέτουμε λίγο χυμό λεμονιού για να πολτοποιηθούν ευκολότερα. Αδειάζουμε σε μπολ και προσθέτουμε όσο από το μετρημένο ελαιόλαδο χρειάζεται ώστε να αποκτήσει η πάστα την επιθυμητή πυκνότητα. Αν θέλουμε, προσθέτουμε λίγο ακόμα χυμό., Ετοιμάζουμε πολύ δυνατή θράκα (το χέρι μας να αντέχει το πολύ 4-5 δευτερόλεπτα σε απόσταση 10 εκ. από τη σχάρα. Ακουμπάμε την μπριζόλα στην καυτή σχάρα και ψήνουμε και από τις δύο πλευρές για όσο χρειαστεί (συνήθως 2-3 λεπτά), μέχρι να αποκτήσει μια τραγανή κρούστα., Την αλείφουμε και από τις δύο πλευρές με το βούτυρο miso και συνεχίζουμε το ψήσιμο θερμομετρώντας την μπριζόλα (μπήγουμε το θερμόμετρο στο πιο χοντρό σημείο της, χωρίς να ακουμπήσει το κόκαλο). Είναι έτοιμη όταν η θερμοκρασία φτάσει από 52 έως 60°C., Αποσύρουμε από τη σχάρα και ακουμπάμε την μπριζόλα σε μεγάλο ξύλο κοπής. Την αφήνουμε να ξεκουραστεί για 7-10 λεπτά., Παράλληλα, τρίβουμε τις φέτες ψωμιού με το κομμένο σκόρδο και τις ψήνουμε στην καυτή θράκα μαζί με τα ντοματίνια για λίγα λεπτά, μέχρι να ροδίσει το ψωμί και να ζαρώσει η φλούδα από τα ντοματίνια., Κόβουμε την μπριζόλα σε φέτες 1 εκ. και βάζουμε δίπλα της τα ντοματίνια και το ψωμί. Ραντίζουμε με ελαιόλαδο, πασπαλίζουμε με το αλατοπίπερο και σερβίρουμε μαζί με τη salsa verde σε μπολάκι."
Γλυκό κουταλιού φράουλα,"800 γρ. ζάχαρη, 1 κιλό φράουλες, καθαρισμένες, κομμένες στη μέση ή στα τέσσερα, αν είναι μεγάλες, 200 ml νερό, τα σποράκια από 1 λοβό βανίλιας, χυμό από 1 λεμόνι, λίγα σπόρια κάρδαμο (προαιρετικά)","Για να φτιάξουμε το γλυκό κουταλιού φράουλα, ξεκινάμε ως εξής: μέσα σε ένα μπολ ανακατεύουμε τη ζάχαρη και τις φράουλες., Αφήνουμε στην άκρη για 4 ώρες, έτσι ώστε τα φρούτα να βγάλουν τα υγρά τους., Αδειάζουμε το όλον σε μια κατσαρόλα, προσθέτουμε νερό και τα σποράκια από τον λοβό βανίλιας (τον χαράσσουμε κατά μήκος στη μέση και με ένα μαχαιράκι ξύνουμε και παίρνουμε τα σποράκια., Σιγοβράζουμε για περίπου 20 λεπτά, μέχρι οι φράουλες να αρχίσουν να μαλακώνουν., Τις βγάζουμε με τρυπητή κουτάλα, στραγγίζοντας καλά, και τις μεταφέρουμε σε μπολ., Ρίχνουμε στην κατσαρόλα τον χυμό λεμονιού και τους σπόρους κάρδαμου (σε ένα τούλι για να τους αφαιρέσουμε μετά) και συνεχίζουμε τον βρασμό του σιροπιού για τουλάχιστον 10 λεπτά, μέχρι να δέσει., Τέλος, ξαναρίχνουμε τις φράουλες μέσα στο σιρόπι, ανακατεύουμε και αποσύρουμε., Μοιράζουμε το γλυκό κουταλιού φράουλα σε αποστειρωμένα βάζα και φυλάσσουμε σε μέρος δροσερό."
Πορτοκαλόπιτα εξωτική με ανανά,"500 γρ. ζάχαρη λευκή, κρυσταλλική, 500 ml νερό, 2 τμχ. αστεροειδής γλυκάνισος, 1 λοβός φυσικής βανίλιας (τον σχίζουμε κατά μήκος με ένα μαχαιράκι και ξύνουμε και παίρνουμε τα σποράκια από το εσωτερικό του), 140 ml φρεσκοστυμμένος χυμός πορτοκαλιού, 70 γρ. πουρές ανανά (πολτοποιούμε σάρκα από ανανά φρέσκο ή από κομπόστα, καλά στραγγισμένη)","Για να φτιάξουμε την εξωτική πορτοκαλόπιτα με ανανά, ξεκινάμε από το σιρόπι., Σε μια κατσαρόλα ζεσταίνουμε τη ζάχαρη με το νερό και τους γλυκάνισους σε μέτρια προς δυνατή φωτιά και, μόλις πάρουν μια βράση και λιώσει η ζάχαρη, αποσύρουμε., Ρίχνουμε τα σποράκια βανίλιας τον χυμό πορτοκαλιού και την πούλπα ανανά, ανακατεύουμε και αφήνουμε το σιρόπι να κρυώσει., Κόβουμε τα φύλλα σε μικρά ακανόνιστα κομμάτια., Τα βάζουμε σε ταψί και τα στεγνώνουμε σε φούρνο προθερμασμένο στους 90°C για 1 ώρα μέχρι να ξεραθούν, ανακατεύοντάς τα τακτικά., Παράλληλα, σε μια κατσαρόλα βράζουμε τα πορτοκάλια, ολόκληρα, για 1 ώρα, μέχρι να τα διαπερνά εύκολα ένα πιρούνι. Τα στραγγίζουμε, τα αφήνουμε να κρυώσουν, τα κόβουμε στη μέση και αφαιρούμε τυχόν κουκούτσια., Πολτοποιούμε τα πορτοκάλια στον πολυκόφτη μαζί με τα κομμάτια ανανά μέχρι να γίνουν ένας λείος πουρές., Τον αδειάζουμε σε μεγάλο μπολ, προσθέτουμε το ξύσμα, τη ζάχαρη, το σπορέλαιο, το γιαούρτι, τα αυγά, το μπέικιν πάουντερ και τη σόδα και ανακατεύουμε., Τέλος, ρίχνουμε τα ξερά κομμάτια από τα φύλλα κρούστας και ανακατεύουμε καλά., Προθερμαίνουμε τον φούρνο στους 170°C και λαδώνουμε ένα ταψί 25 x 35 εκ., Αδειάζουμε το μείγμα, ισιώνουμε την επιφάνεια και στολίζουμε με τις ροδέλες ανανά., Ψήνουμε για 40-45 λεπτά, μέχρι η πίτα να ροδίσει., Ξεφουρνίζουμε και περιχύνουμε σταδιακά την καυτή πίτα με το κρύο σιρόπι. Αφήνουμε για τουλάχιστον 30 λεπτά να απορροφήσει καλά το σιρόπι και σερβίρουμε."
